Start,Output0,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11
Value0,85.4508,84.3,84.1173,84.069,84.069,84.3455,96.3541,80.6083,85.1928,84.4025,106.77,
Value1,83.6968,82.4875,82.22,82.1672,82.1672,82.4543,95.58,78.7311,83.3253,82.5084,96.29,
Value2,82.743,81.5214,81.2347,81.1458,81.1458,81.4409,95.149,77.6502,82.3301,81.4974,100.7,
Value3,82.2222,80.9731,80.6353,80.5731,80.5731,80.8677,94.8821,77.1703,81.7534,80.9194,98.23,
Value4,80.8351,79.5473,79.1294,79.0715,79.0715,79.3704,94.1771,75.7547,80.2614,79.4176,93.84,
Value5,80.8646,79.5785,79.1641,79.1041,79.1041,79.4031,94.1937,75.7799,80.2946,79.4506,93.91,
Value6,78.9362,77.6183,77.115,77.0305,77.0305,77.3365,93.1662,73.7763,78.2362,77.3809,88.15,
Value7,78.186,76.8674,76.3457,76.2316,76.2316,76.5418,92.7585,72.963,77.448,76.5874,90.18,
Value8,76.9506,75.6552,75.1422,74.9332,74.9332,75.2542,92.0936,71.5337,76.1815,75.3076,88.94,
Value9,77.397,76.1071,75.6171,75.4123,75.4123,75.7326,92.3559,71.9822,76.6609,75.7871,86.5,
Value10,73.5651,72.2669,71.6235,71.3262,71.3262,71.6555,90.0151,68.0609,72.5793,71.7063,77.44,
Value11,73.4693,72.143,71.4438,71.2041,71.2041,71.5274,89.9099,68.0931,72.4338,71.5702,81.17,
Value12,73.8535,72.4922,71.7455,71.5884,71.5884,71.9036,90.1066,68.638,72.7911,71.9372,78.69,
Value13,68.8506,67.4886,66.4833,66.2592,66.2592,66.5712,86.5939,63.7716,67.4036,66.5896,74.38,
Value14,66.995,65.657,64.5809,64.3003,64.3003,64.6119,85.194,61.9386,65.4241,64.628,69.81,
Value15,68.264,66.9553,66.013,65.6726,65.6726,65.9948,86.2404,62.9848,66.8496,66.0255,71.9,
Value16,69.1916,67.8797,66.9869,66.6582,66.6582,66.982,86.9376,63.8702,67.8505,67.016,74.08,
