Start,Output0
0.0137769,0
0.7386202,0.841470985
0.79442084,0.909297427
0.02031907,0.141120008
0.01374069,-0.756802495
0.01374068,-0.958924275
0.01374135,-0.279415498
0.4528577,0.656986599
0.8374306,0.989358247
0.08986194,0.412118485
0.01374071,-0.544021111
0.01374068,-0.999990207
0.01374071,-0.536572918
0.09543708,0.420167037
0.83795647,0.990607356
0.43939834,0.65028784
0.01374127,-0.287903317
0.01374068,-0.961397492
0.01374069,-0.750987247
0.02086432,0.14987721
0.7968462,0.912945251
0.73378006,0.836655639
0.01382108,-0.008851309
0.01374069,-0.846220404
0.01374068,-0.905578362
0.0137499,-0.13235175
0.64153786,0.76255845
0.82208759,0.956375928
0.03513042,0.270905788
0.01374069,-0.663633884
0.01374068,-0.988031624
0.01374081,-0.404037645
0.25014728,0.551426681
0.8417579,0.99991186
0.21450686,0.529082686
0.01374078,-0.428182669
0.01374068,-0.991778853
0.0137407,-0.643538133
0.04068404,0.296368579
0.82579774,0.963795386
0.61465847,0.74511316
0.0137462,-0.158622669
0.01374068,-0.916521548
0.01374069,-0.831774743
0.01573388,0.017701925
0.74773242,0.850903525
0.78926293,0.901788348
0.01934908,0.123573123
0.01374069,-0.768254661
0.01374068,-0.953752653
0.01374156,-0.262374854
0.47921896,0.670229176
0.83626784,0.986627592
0.07970852,0.39592515
0.01374071,-0.558789049
0.01374068,-0.999755173
0.01374072,-0.521551002
0.10765387,0.436164755
0.83890062,0.992872648
0.41205659,0.636738007
0.01374114,-0.304810621
0.01374068,-0.96611777
0.01374069,-0.739180697
0.02209138,0.1673557
0.80140932,0.920026038
0.72349433,0.826828679
0.01382225,-0.026551154
0.01374069,-0.855519979
0.01374068,-0.897927681
0.01375376,-0.114784814
0.65792623,0.773890682
0.81932669,0.951054653
0.03205927,0.253823363
0.01374069,-0.676771957
0.01374068,-0.98514626
0.01374083,-0.387781635
0.27549982,0.566107637
0.84160189,0.999520159
0.19258752,0.513978456
0.01374076,-0.444112669
0.01374068,-0.993888654
0.0137407,-0.629887994
0.04512715,0.313228782
0.82800459,0.968364461
0.59515961,0.73319032
0.01374465,-0.17607562
0.01374068,-0.923458447
0.01374069,-0.821817837
0.01626298,0.035398303
0.75613488,0.860069406
0.78366717,0.893996664
0.01852084,0.105987512
0.01374069,-0.77946607
0.01374068,-0.948282141
0.01374184,-0.245251985
0.50468483,0.683261715
0.83495186,0.983587745
0.07078707,0.379607739
0.01374071,-0.573381872
0.01374068,-0.999206834
